# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1068508669.124491,2033-11-10T11:56:39.941837,-374254743.845573,144919586.366798,17929298.342201,-5.646342498,-16.306401391,1.139867346,1225.1115
1069235834.276283,2033-11-18T21:56:05.093473,-378157093.484956,132985779.524411,18748308.184165,-5.085432296,-16.513569690,1.112524560,1225.1115
1069962999.428075,2033-11-27T07:55:30.245084,-381648836.261161,120907583.579590,19546960.533507,-4.517072011,-16.703484532,1.083878139,1225.1115
1070690164.579867,2033-12-05T17:54:55.396674,-384724698.484351,108697644.257888,20324312.252227,-3.941658427,-16.875871851,1.053941430,1225.1115
1071417329.731659,2033-12-14T03:54:20.548245,-387379698.167137,96368806.764989,21079430.109089,-3.359597194,-17.030457077,1.022728342,1225.1115
1072144494.883451,2033-12-22T13:53:45.699803,-389609151.761326,83934116.109774,21811391.209808,-2.771303627,-17.166965263,0.990253407,1225.1115
1072871660.035243,2033-12-30T23:53:10.851354,-391408681.487196,71406817.321138,22519283.471393,-2.177203537,-17.285121255,0.956531839,1225.1115
1073598825.187035,2034-01-08T09:52:36.002903,-392774223.269926,58800355.517070,23202206.143584,-1.577734072,-17.384649924,0.921579605,1225.1115
1074325990.338827,2034-01-16T19:52:01.154454,-393702035.296949,46128375.782266,23859270.380334,-0.973344582,-17.465276462,0.885413492,1225.1115
1075053155.490619,2034-01-25T05:51:26.306014,-394188707.208873,33404722.808029,24489599.864359,-0.364497495,-17.526726745,0.848051184,1225.1115
1075780320.642411,2034-02-02T15:50:51.457586,-394231169.935354,20643440.245645,25092331.487781,0.248330783,-17.568727754,0.809511343,1225.1115
1076507485.794204,2034-02-11T01:50:16.609177,-393868400.691252,7858466.593484,25657599.533951,0.807268261,-17.591422991,0.757422944,1222.7504
1077234650.945996,2034-02-19T11:49:41.760790,-393056443.171101,-4935454.417530,26193605.617352,1.426377752,-17.593712167,0.716628764,1222.7504
1077961816.097788,2034-02-27T21:49:06.912429,-391793411.555570,-17723695.803053,26699551.028901,2.047816608,-17.575759743,0.674747807,1222.7504
1078688981.249580,2034-03-08T07:48:32.064098,-390077808.072887,-30491447.527574,27174654.258307,2.671042705,-17.537316014,0.631804379,1222.7504
1079416146.401372,2034-03-16T17:47:57.215798,-387908535.544881,-43223719.648695,27618151.967795,3.295496225,-17.478136011,0.587824172,1222.7504
1080143311.553164,2034-03-25T03:47:22.367531,-385284910.571673,-55905346.077804,28029300.036443,3.920598782,-17.397980386,0.542834365,1222.7504
1080870476.704956,2034-04-02T13:46:47.519300,-382206677.348416,-68520989.025042,28407374.677800,4.545752560,-17.296616410,0.496863724,1222.7504
1081597641.856748,2034-04-10T23:46:12.671103,-378674022.103534,-81055144.199735,28751673.633387,5.170339465,-17.173819059,0.449942712,1222.7504
1082324807.008540,2034-04-19T09:45:37.822939,-374687588.143448,-93492146.840686,29061517.444505,5.793720306,-17.029372206,0.402103593,1222.7504
1083051972.160332,2034-04-27T19:45:02.974809,-370248491.483803,-105816178.653997,29336250.804617,6.415234001,-16.863069925,0.353380550,1222.7504
1083779137.312124,2034-05-06T05:44:28.126711,-365358337.041621,-118011275.739153,29575243.994337,7.034196834,-16.674717911,0.303809795,1222.7504
1084506302.463916,2034-05-14T15:43:53.278641,-360019235.356630,-130061337.587156,29777894.400776,7.649901741,-16.464135007,0.253429689,1222.7504
1085233467.615708,2034-05-23T01:43:18.430597,-354233819.803162,-141950137.237211,29943628.122701,8.261617674,-16.231154861,0.202280861,1222.7504
1085960632.767500,2034-05-31T11:42:43.582575,-348005264.246482,-153661332.680991,30071901.662550,8.868589023,-15.975627704,0.150406323,1222.7504
1086687797.919293,2034-06-08T21:42:08.734573,-341337301.089131,-165178479.605628,30162203.705904,9.470035118,-15.697422254,0.097851600,1222.7504
1087414963.071085,2034-06-17T07:41:33.886584,-334234239.643888,-176485045.568218,30214056.988526,10.065149832,-15.396427750,0.044664839,1222.7504
1088142128.222877,2034-06-25T17:40:59.038605,-326700984.760152,-187564425.695752,30227020.250431,10.653101285,-15.072556111,-0.009103061,1222.7504
1088869293.374669,2034-07-04T03:40:24.190632,-318743055.620015,-198399960.004778,30200690.275824,11.233031676,-14.725744235,-0.063398342,1222.7504
1089596458.526461,2034-07-12T13:39:49.342659,-310366604.608973,-208974952.434719,30134704.016947,11.804057246,-14.355956412,-0.118164266,1222.7504
1090323623.678253,2034-07-20T23:39:14.494683,-301578436.154134,-219272691.687440,30028740.799022,12.299077280,-13.926792001,-0.111654689,1218.8341
1091050788.830045,2034-07-29T09:38:39.646698,-292434160.412343,-229250025.339779,29927372.076792,12.849526942,-13.511135464,-0.167215132,1218.8341
1091777953.981837,2034-08-06T19:38:04.798700,-282893820.116669,-238916828.819732,29785468.601157,13.388257488,-13.072720743,-0.223130946,1218.8341
1092505119.133629,2034-08-15T05:37:29.950685,-272966285.566519,-248256586.078464,29602795.932644,13.914306230,-12.611644560,-0.279335635,1218.8341
1093232284.285421,2034-08-23T15:36:55.102648,-262661135.701004,-257252865.298703,29379169.216297,14.426686946,-12.128042356,-0.335759303,1218.8341
1093959449.437213,2034-09-01T01:36:20.254587,-251988674.880034,-265889348.132734,29114455.681740,14.924390835,-11.622091286,-0.392328577,1218.8341
1094686614.589005,2034-09-09T11:35:45.406497,-240959948.882687,-274149861.153856,28808577.200717,15.406387717,-11.094013307,-0.448966532,1218.8341
1095413779.740798,2034-09-17T21:35:10.558377,-229586759.929176,-282018409.579213,28461512.892506,15.871627522,-10.544078336,-0.505592632,1218.8341
1096140944.892590,2034-09-26T07:34:35.710225,-217881680.517019,-289479213.309607,28073301.765984,16.319042067,-9.972607463,-0.562122685,1218.8341
1096868110.044382,2034-10-04T17:34:00.862038,-205858065.846491,-296516745.317338,27644045.385411,16.747547163,-9.379976189,-0.618468828,1218.8341
1097595275.196174,2034-10-13T03:33:26.013817,-193530064.595219,-303115772.396031,27173910.545203,17.156045050,-8.766617682,-0.674539517,1218.8341
1098322440.347966,2034-10-21T13:32:51.165562,-180912627.787230,-309261398.266789,26663131.937076,17.543427206,-8.133025996,-0.730239556,1218.8341
1099049605.499758,2034-10-29T23:32:16.317272,-168021515.488238,-314939109.012584,26112014.790970,17.908577522,-7.479759248,-0.785470144,1218.8341
1099776770.651550,2034-11-07T09:31:41.468950,-154873301.046799,-320134820.787624,25520937.469162,18.250375877,-6.807442697,-0.840128953,1218.8341
1100503935.803342,2034-11-15T19:31:06.620598,-141485372.590622,-324834929.720329,24890353.990967,18.567702115,-6.116771687,-0.894110246,1218.8341
1101231100.955134,2034-11-24T05:30:31.772219,-127875931.479308,-329026363.897655,24220796.463363,18.859440441,-5.408514419,-0.947305015,1218.8341
1101958266.106926,2034-12-02T15:29:56.923816,-114063987.409483,-332696637.284821,23512877.390945,19.124484233,-4.683514498,-0.999601174,1218.8341
1102685431.258718,2034-12-11T01:29:22.075394,-100069349.866402,-335833905.398151,22767291.836687,19.361741275,-3.942693199,-1.050883782,1218.8341
1103412596.410510,2034-12-19T11:28:47.226957,-85912615.617991,-338427022.510075,21984819.403247,19.570139410,-3.187051403,-1.101035311,1218.8341
1104139761.562303,2034-12-27T21:28:12.378511,-71615151.953657,-340465600.124547,21166326.002974,19.748632590,-2.417671146,-1.149935957,1218.8341
1104866926.714095,2035-01-05T07:27:37.530060,-57199075.381516,-341940066.418768,20312765.383430,19.896207310,-1.635716718,-1.197464005,1218.8341
1105594091.865887,2035-01-13T17:27:02.681609,-42749430.802491,-342822265.148410,19498286.201431,19.926394744,-0.815671702,-1.143018354,1213.4445
1106321257.017679,2035-01-22T03:26:27.833164,-28227434.304184,-343123892.174363,18650789.190420,20.009484524,-0.012366446,-1.187692570,1213.4445
1107048422.169471,2035-01-30T13:25:52.984731,-13657161.827856,-342838151.935504,17771367.971116,20.059031947,0.799592133,-1.230802888,1213.4445
1107775587.321263,2035-02-07T23:25:18.136314,936694.396978,-341959274.542875,16861203.504102,20.074217946,1.618753729,-1.272228917,1213.4445
1108502752.473055,2035-02-16T09:24:43.287918,15528869.037849,-340482573.331072,15921564.372260,20.054286577,2.443589627,-1.311850138,1213.4445
1109229917.624847,2035-02-24T19:24:08.439546,30093572.318312,-338404501.164370,14953806.676540,19.998552625,3.272494779,-1.349546457,1213.4445
1109957082.776639,2035-03-05T05:23:33.591203,44604544.239677,-335722704.959069,13959373.513131,19.906409287,4.103790644,-1.385198799,1213.4445
1110684247.928431,2035-03-13T15:22:58.742890,59035114.400538,-332436077.851451,12939794.001716,19.777335871,4.935728828,-1.418689748,1213.4445
1111411413.080223,2035-03-22T01:22:23.894610,73358267.388651,-328544808.413851,11896681.836779,19.610905407,5.766495565,-1.449904221,1213.4445
1112138578.232015,2035-03-30T11:21:49.046364,87546713.653167,-324050426.300910,10831733.336841,19.406792091,6.594217062,-1.478730170,1213.4445
1112865743.383807,2035-04-07T21:21:14.198153,101572965.693289,-318955843.695270,9746724.970180,19.164778451,7.416965707,-1.505059323,1213.4445
1113592908.535599,2035-04-16T07:20:39.349977,115409419.322929,-313265391.917885,8643510.339878,18.884762118,8.232767156,-1.528787928,1213.4445
1114320073.687392,2035-04-24T17:20:04.501834,129028439.691057,-306984852.573926,7524016.616124,18.566762119,9.039608276,-1.549817524,1213.4445
1115047238.839184,2035-05-03T03:19:29.653723,142402451.655382,-300121482.621727,6390240.409362,18.210924541,9.835445906,-1.568055712,1213.4445
1115774403.990976,2035-05-11T13:18:54.805642,155504034.024421,-292684032.780269,5244243.084150,17.817527481,10.618216409,-1.583416919,1213.4445
